Model,Variant,2026 Price (SRP PHP)
Isuzu D-MAX,RZ4E 4x2 Single Cab MT,978000
Isuzu D-MAX,RZ4E 4x2 LT MT,1197000
Isuzu D-MAX,3.0 4x4 Single Cab MT,1462000
Isuzu D-MAX,3.0 4x4 LT MT,1607000
Isuzu D-MAX,3.0 4x2 LS-A MT Plus,1796000
Isuzu D-MAX,3.0 4x2 LS-A AT Plus,1880000
Isuzu D-MAX,3.0 4x4 LS-A MT Plus,2160000
Isuzu D-MAX,3.0 4x2 LS-E AT,2094000
Isuzu D-MAX,3.0 4x4 LS-E AT,2394000
Isuzu mu-X,RZ4E 4x2 LS AT,1725000
Isuzu mu-X,3.0 4x2 LS-A AT,2069000
Isuzu mu-X,3.0 4x2 LS-E AT,2320000
Isuzu mu-X,3.0 4x4 LS-E AT,2670000
